id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid02RTtZ7fc5vNtUpLe6aTKy32FLAWvzKE52nQdJjRWjcbHixefeGyV38JzoExUE8kvDl,Football B'darija - فوتبول بالداريجة,0,3,1,0,0,0,0,0,4,0,راموس غيضيع ماتش العمر,2022-10-16T18:15:23.261932,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/311496824_1197651410826673_4215319237948561310_n.jpg?stp=cp6_dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=tE32iQpXX5AAX83iPml&_nc_oc=AQmV2RaULYinLxKQZbT9o0j8H_7KXvAOzzUHNdZvCADRQT1lQIRDN0xyI2lmyYo9j5I&_nc_ht=scontent.frak3-1.fna&oh=00_AT_hZ1MmFmHEbH0OpSGOjPYRYdKS7cDpknANgC1thR86zA&oe=63510FBE,https://www.facebook.com/FOOTB5/posts/pfbid02RTtZ7fc5vNtUpLe6aTKy32FLAWvzKE52nQdJjRWjcbHixefeGyV38JzoExUE8kvDl?__cft__[0]=AZX3Xp35wD6-YWsrvgs-7B0LBAav0vkze7jOiUVt_zJO8vo59_Bv3BdfABxjmQOW6u9Ct5oUD0jGgAL1_YUFN-Ey3VwYWlXT9SfpANZ57JzBGwSjWgFouWY6PA608M3KbNN0WuBICYr8BpM1NE_Xu2FFFzgVO_NmMbjV-3qFlDOjVEgPKXZQKUn0-OU-YwDKi_eNfOat4arm4Ac7hKsJ3Pp1&__tn__=%2CO%2CP-R
pfbid0wZ4wEkotYJ1NZvhnEsa5bP5G6W1MGo7yTqY2YvnXkkcFaf8gfDaqQKFbx66aWTBNl,Football B'darija - فوتبول بالداريجة,28,29,0,0,0,0,0,200,229,8,كاين لي كيقمر على بوسكيتس,2022-10-16T17:16:23.380576,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/310785973_1197609677497513_5584460313322551604_n.jpg?stp=dst-jpg_s640x640&_nc_cat=104&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=cRnVlS0v7yUAX81NKPT&_nc_ht=scontent.frak3-1.fna&oh=00_AT9KTeYUnFb_tjg6fNBmYsH_5A9lEunf-fWLkt47q6uBgA&oe=6350466E https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/FOOTB5/posts/pfbid0wZ4wEkotYJ1NZvhnEsa5bP5G6W1MGo7yTqY2YvnXkkcFaf8gfDaqQKFbx66aWTBNl?__cft__[0]=AZWlnDudiiFgdyuFkaf7kgXh3OQ3roHB-P8mALKNc_lXn2eBRAyVsGIZpTjeU2Dez6gtpMHYOo7xzpA3Wbs-WHu2xjdmEoCZUQvAjh2VZqm8adyf3h5zV4Las7_qIMUyEqjwXuVCz9o8AlMTxIhsJTDwsB3skoLPWPSAtKCcUvsdnCyP4HWSEtAw9S4umhvhPbOi8EFuIoHvxgFld77JjbJq&__tn__=%2CO%2CP-R
pfbid02woNev5nCit9YxTmwbkEE7FDV2ghqazbB3yLQEakLdZyDfCi7Sz7Zfz9TzzHtRSb7l,Football B'darija - فوتبول بالداريجة,8,54,20,0,0,0,0,127,201,20,تصويرة لي غنبقاو نشوفو من هنا عماين,2022-10-16T17:16:23.485433,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/310588371_1197587060833108_5023957598828605975_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=pseyhVVM0dQAX_hGMux&_nc_oc=AQndegyKFo_3u1qz3sQSp-fZ-6u4h6hgXo1bkWYeqMzplzsU0gCHmRLDpK_dlUz8LfU&_nc_ht=scontent.frak3-1.fna&oh=00_AT8d881eB-U164oN3wkouQ_3nBo13V-bYIozNqWY_aVJvg&oe=63505362,https://www.facebook.com/FOOTB5/posts/pfbid02woNev5nCit9YxTmwbkEE7FDV2ghqazbB3yLQEakLdZyDfCi7Sz7Zfz9TzzHtRSb7l?__cft__[0]=AZWgMnAaAqfazUPJgPUqdkxHR25cwSDpg1__0UlJ7bViehsg0Fs4nFwNbbxu-pekwP9XXLuQxRpkRA6LIqu_hl3Hv322MjmlOC6j9FlydrT_vAlhpS7uYrNg0JB8xvENgyrTCEqwOK2-81In8urJQCQbgIl25SsL9WlYpkbS78-_Xad0wJMhXxiW-YleDESfb615_zSB3CqyVeM89baY9mjg&__tn__=%2CO%2CP-R
pfbid0owXo88myJUFNyDPmP7iTU8qbPeSYS1UmtERoLprp1jjcbuuw4qpt79m2vFatH4eBl,Football B'darija - فوتبول بالداريجة,10,223,106,0,0,0,0,46,375,34,احسن حاجة لعشاق البارصا تخسر ليوم باش يمشي فحالو تشافي يضرب واحد 10 سنوات فشي دوري او فريق متوسططكتيك منعدم او عمرو رجع فشي ماتش هو لي ختار يجيب كارسيا او توريس....يعني كايتحمل المسؤولية كاملة ديال هادشي لي فيه البارصا,2022-10-16T17:16:23.583713,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/311417811_1197565770835237_173429377928152649_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=zHFcyzs9f8QAX9rfgpP&_nc_ht=scontent.frak3-1.fna&oh=00_AT9jv0ivtKaMgxQ8j3HYkbaW5rlXECTwMTT9VK4LmyHUpQ&oe=6351A9A4 https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/FOOTB5/posts/pfbid0owXo88myJUFNyDPmP7iTU8qbPeSYS1UmtERoLprp1jjcbuuw4qpt79m2vFatH4eBl?__cft__[0]=AZWxVOZpiyFybJqA380qVDGZiWEwg343zLmfpJTU-gV04OEE_MbtrsxF7AVz-2frwCeUPaGcPZdTAU66uOgLUnoz7S_V8ZFKYEqxh0EwnGpRTuCzZLhyBIfSdEbwXlgcJY6VvLVlu7edoagVvDAOGrWVaVlVDAalweHzaI4t9s8UEp3YW0yF8SeqSHmGDL98KL3zq2O35gCaeFWvgZWfg-SE&__tn__=%2CO%2CP-R
pfbid02iLXDs1Rct1ooq5c3yVXaGTofA3WUWFfnfW5syiTdLe1vLzWuFH2CQHwLPrqAn7bHl,Football B'darija - فوتبول بالداريجة,5,130,0,0,0,0,0,93,223,5,,2022-10-16T16:16:23.669542,[],,https://www.facebook.com/FOOTB5/posts/pfbid02iLXDs1Rct1ooq5c3yVXaGTofA3WUWFfnfW5syiTdLe1vLzWuFH2CQHwLPrqAn7bHl?__cft__[0]=AZXR_HKLif8dz_QjpxqZjYhQLZNNEcHreRF38R3cInbRm5N1KWCrOzgW28xkEUnsUPFY-7uscjh9ICAunEzLnjXxneU3cltIJdhSrfJpsErXrrT0elZDNs225KIeBrzjVy1FLLbYxyt9I7NHsd7w9PsA7YFM8_HyhBEdMdJ5iD9UsGr0eOJNoxV1Atf3k4NdmVb4eHKL6IRlgEvoDWL0v_5Y&__tn__=%2CO%2CP-R
pfbid02fR8u8fqAyoAyBs9dG7dRnyaJw9oYLfq68QSqU6fjWyMSMBFjNxrdgrhjoDr19DRQl,Football B'darija - فوتبول بالداريجة,6,76,18,0,0,0,0,55,149,6,,2022-10-16T16:16:24.308650,[],,https://www.facebook.com/FOOTB5/posts/pfbid02fR8u8fqAyoAyBs9dG7dRnyaJw9oYLfq68QSqU6fjWyMSMBFjNxrdgrhjoDr19DRQl?__cft__[0]=AZVhTspi43LwCZwrqOk_R8BGWVPBiPA51N8eZc4VPFPB_k62NdGwjEvpGsM788ezLHi1AuX3DUq2y4i0b0rv67trTGAuskVZ-17a0-Us3jppiDwaDskXpnlQdIaIQ6g-IOIFiHvzZJFMP5k2FvFPPF1ahTCCOgP2R5J1yjwS-9qg09KvJMDNBP4_ATjpDD26B-u6wBXiN3-WiZm2-nz8NPzr&__tn__=%2CO%2CP-R
pfbid02vGhGeHJ73gv8QCUwnJAJYqNpTHFGJQzvfTezoPftrCUetDc8XYjWEKQzztAEws4Wl,Football B'darija - فوتبول بالداريجة,1,318,0,0,0,0,0,2,320,223,نخاف غا يكون هو لي غيعطي الكرة الذهبية لبنزيما,2022-10-15T23:16:24.402162,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/311484811_1197058477552633_7947379639395120507_n.jpg?stp=dst-jpg_s720x720&_nc_cat=100&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=M01EOGo8rvoAX-Wv56y&_nc_ht=scontent.frak3-1.fna&oh=00_AT9Mxs8ASxgqUJFnGJLkCpZWkIbP2ne7frz9Xe0DYH_BRg&oe=6351F0AC,https://www.facebook.com/FOOTB5/posts/pfbid02vGhGeHJ73gv8QCUwnJAJYqNpTHFGJQzvfTezoPftrCUetDc8XYjWEKQzztAEws4Wl?__cft__[0]=AZVyVu2AeDzV171V4OCA9cczhO8lxvcceDC94W40SDt4D_KOhQIwnxwZab42AsODEgFhsxOmcMOPslP2yIYHfmjh5b2uJ9Y2KUJhWc8bEkdeLy4JxaZQSBnUkimltF6KhkrMUNawcOU-kktlP0KLid5zOos5Gormi_C1U-hj9HgQeYPhFrP326_esE-3FHDCB53gIWSlSZV46m8Lfqamg07z&__tn__=%2CO%2CP-R
pfbid0nxdggYZPd3Xh4VHadSy81n2154iHbeHds66wUHGAJdmMeQhwLM1foZSr6Q2e7Fpsl,Football B'darija - فوتبول بالداريجة,27,286,0,0,0,0,0,701,987,21,ماتش د اتليتيكو و ميكونش فيه كثر من 7 دقايق ميمكنش,2022-10-15T22:16:26.093814,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/310605217_1197026770889137_660339325062419083_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=MUhMdJ9rDyEAX9_HXqA&_nc_ht=scontent.frak3-1.fna&oh=00_AT-lqqxZq0mE9Rkwy1SJeEc8sPyIgm3qm_Zb9sZBclHbbw&oe=635136E4 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/FOOTB5/posts/pfbid0nxdggYZPd3Xh4VHadSy81n2154iHbeHds66wUHGAJdmMeQhwLM1foZSr6Q2e7Fpsl?__cft__[0]=AZXSFpFLoDld3Ezr69RBGkMDfq7XTYAVKILWN6dIRGWIFrhp3ajcBjQ8QG-FT6EZ-KAZ53RxpG663EXaoUOeIwPrQP0Ngdj_1Hc-65o8AlK6_i8Y0kKX41vrSv-IuwSH5JGxBRzeBUBY9v1eRcCV0LTe0VVl2hOP2_AHC_f0fKH0SpxGvbsbkZT4K40uMXTTI199xzsNMRqQaXXpmwnNZePk&__tn__=%2CO%2CP-R
pfbid0PK4e3EqrE5H7G8r4piqhGj1CAceTMY9K69tjcg4UZYe8h5e5BsfiyQkAEdqLEMEPl,Football B'darija - فوتبول بالداريجة,23,297,0,0,0,0,0,684,981,21,بحالا كنتفرج فشي حلمة معارفش شنو واقع,2022-10-15T22:16:26.194458,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/309352002_1197016990890115_6780333523107342425_n.jpg?stp=dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=BVqvetKrkwEAX8LbZPG&_nc_ht=scontent.frak3-1.fna&oh=00_AT_X6m32OF1-cnUDldwz-aOSVH-nBqD7uGhJs8rXrxxN8Q&oe=635113A1,https://www.facebook.com/FOOTB5/posts/pfbid0PK4e3EqrE5H7G8r4piqhGj1CAceTMY9K69tjcg4UZYe8h5e5BsfiyQkAEdqLEMEPl?__cft__[0]=AZWCzqnLeOMgHytUn8XvdTLUMz8LpmwVbZk7FJZ5H8Lvjw7xnU31_MWNOHYG3DquI0jv5bB4ipiDaXR90xO29gfhoOgE4UyVDjgQB9eSzrrebv4apgoJIDju5VYXnKORKgtLnvSQbr-iQsv7V7PjXmbcg29h4uUlFUB6RAOFmF_q5jEwVFDvZLVR2uM6iv7NefGa2JNBqGWoODh6D-RTJjF4&__tn__=%2CO%2CP-R
pfbid02dZZj53RAY1MjovJAvcTPDhxMQEqZxJtbepd39XFETMgmShKugxYSxQzrMvXNfskxl,Football B'darija - فوتبول بالداريجة,6,304,0,0,0,159,0,37,500,28,مشا ليه لمونديال ,2022-10-15T21:16:26.297366,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/307981312_1197000380891776_6933425474296222874_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=oxxCPKCjCmcAX9S5kik&_nc_ht=scontent.frak3-1.fna&oh=00_AT-u233e9l24qNENrMVAswBjzpR2ZnjTVzZvEP3hXAs6eg&oe=63513A82,https://www.facebook.com/FOOTB5/posts/pfbid02dZZj53RAY1MjovJAvcTPDhxMQEqZxJtbepd39XFETMgmShKugxYSxQzrMvXNfskxl?__cft__[0]=AZVOvKA9_2fRgNkyVb5ecLMY6V6VdFVznKOw4oUIMUUZb9DX_LhoM1dnKEQwEcRVNhKVjeSh0zOdEtLcP1HQm9ncEiKtvUYal_ORmqdlhZ5zPBUdlIxYi2sQRYiS5elHmyqX7E8uN5TVgdRclzrUVOgJI4KWt01-PA1IHJF35okJIclxFl1bkgu7gcCWiScsUi51r3ARliQcQxHT8R4aOXiR&__tn__=%2CO%2CP-R
