index,authorId,authorProfile,author,dateCreated,text
0,100042503400102,https://www.facebook.com/mckako001,Mc Kako,2022-11-13T14:04:57.000Z,هاد النوع متدينة عند الأخد و فيمنيست عند العطاء
0,100006926148280,https://www.facebook.com/people/Younes-Mahi/100006926148280/,Younes Mahi,2022-11-13T14:08:35.000Z,اغلبيتهن بهكذا تفكير مع استثناءات قليلة..بنات الأصل
0,100073505184511,https://www.facebook.com/people/%D8%A7%D9%84-%D8%BA%D8%B1%D9%8A%D8%A8/100073505184511/,ال غريب,2022-11-13T14:09:50.000Z,شفتي إزدواجية في التفكير هو صراحة هاد نوع متخاطرش تدخلها لدارك وتربي ليك ولادك لأنها في أي وقت تقدر تخليك في وسط الطريق لهذا أخي الكريم قلب على من تشبعت في وسط به تربية الأم والأب الأسرة السوية من تعلم أن حياتها في بيتها وتربية أبنائها الماكثة التقية النقية إسع في رحلة البحث ولا تستسلم الخير مزال موجود وربي ميخيبكش.
0,100007195924263,https://www.facebook.com/yassin.mc.121,Yassin Mc,2022-11-13T14:32:31.000Z,"خديجة رضي الله عنها كانت تاجرة!
‏هل كانت تخرج معهم في رحلة الشتاء والصيف؟
‏لا
‏هل كانت تنزل للسوق تبيع وتشتري وتساوم؟
‏لا
‏هل كانت تتعامل مع التجار؟
‏لا
‏إذن قل: كانت مستثمرة، تعطي مالها لمن يتاجر فيه، أما التجارة فلم تكن سيدة من سادات قريش أن تنزل بنفسها للسوق حتى قبل الإسلام.
‏⁧‫#وقار‬⁩"
0,100007888504225,https://www.facebook.com/siham.benachour.35,سهام بن عشور,2022-11-13T18:08:14.000Z,نتمنى ل واحد يحترم خصوصيات الاخر ويدخل سوق راسو
0,100046718491472,https://www.facebook.com/people/%D8%A3%D9%85-%D8%A3%D8%A8%D8%B1%D8%A7%D8%B1-%D8%B9%D8%A8%D9%88/100046718491472/,أم أبرار عبو,2022-11-13T15:39:50.000Z,باش نكونو واضحين والله وجلسو النساء من الخدمة بزاف دالحاجات غتبدل
0,100001950540879,https://www.facebook.com/hassna.simsima,Choutta Hassna,2022-11-13T14:42:11.000Z,بالنسبة لي أرى أن هذا النقاش عقيم لا يمكن الجروج منه برأي على حساب رأي آخر حيث تختلف وجهات النضر و المنطلقات ضروف هذه السيدة ليست كضروف الأخرى وهذا الرجل ليس كذاك الاخر بمعنى لايمكن أن نحكم على الموضوع من منضور واحد
0,100000120966106,https://www.facebook.com/ismail.alaoui.568,Ismail Alaoui,2022-11-13T14:36:55.000Z,"أخطر شيء هو أن نأخذ رأي شخص معين ( ذكر كان ام انثى ) ونعممه على عموم الخلق .
الناس مذاهب وأفكار وآراء شتى ومن السذاجة ان نجري عليهم أمرا معيينا لانه ناسب تفكيرنا ووافق هوانا .
وللناس في ما يعشقون مذاهب ."
0,100007299815735,https://www.facebook.com/rachid.eseul.1,Rachid Boumlik,2022-11-13T14:06:19.000Z,"من تنازل عن النفقة فقد القوامة (الغيرة والرجولة)
لو كانت المرأة تؤمن بالمساواة لوجدتها تعمل في البناء والميكانيك والصيد البحري والقيادة الليلية للنقل...."
0,100008581900771,,Ali Oulhaj,2022-11-13T14:40:19.000Z,"الرجل نفسه هو الذي ترك هذه المسافة ليحتلها هذا النوع من
النساء اللواتي  في نهاية المطاف تقدم نفسها إما إلى الحلال وهذا في كل الاحوال جيد، وإما لا قدر الله إلى اتجاه آخر وهذا هو الأسوء ..... !"
