id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0QebtPu4jXmc9n9P8y9mgp6jHrUawEn67pQ7hEKPANUeRFD73jsTpp78iLqdcEN8wl,Le salarié,21,3,0,0,0,881,0,0,884,1,مدينة الدارالبيضاء #صديق_الصفحة,2022-10-15T16:45:50.129694,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/310484780_5573595186066272_6959854681912344502_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=JXl8uCLjvEAAX8UbWgo&_nc_ht=scontent.frak3-1.fna&oh=00_AT_y0qQG4gE82jZ--52B5bn_GHniJ7giNykR3CRlzzZ8aw&oe=634FAE50,https://www.facebook.com/salariemarocain/posts/pfbid0QebtPu4jXmc9n9P8y9mgp6jHrUawEn67pQ7hEKPANUeRFD73jsTpp78iLqdcEN8wl?__cft__[0]=AZVr--uaUTfsnBbOf_Gdv1G5bOkKAmll59oXdK3AbvGUUuhE9qM4eLUpqBJGg3UWAYpUYIQkuZ0F2ddWkOYF0K6pec-1RTrY6hjPtoIELBHijsfUJLKWjsHNew57dDUmtobaU37tOx1hMLacJIui4fCD2YQwVhVHInWLHzH1WRIaCcmTUw2vscWq0Sc0H6IUxy-igQKOQH9p3AVZhvWVqW6a&__tn__=%2CO%2CP-R
pfbid025Jo4ksXbtFiEDmF5kuS69zZKLkoY23YNWTdxLfZ7bfxtUVbqkdf3c5wXazfchCWel,Le salarié,2,682,0,0,0,92,0,0,774,532,#صديقة_الصفحة,2022-10-15T16:45:50.448546,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/310547948_5573579262734531_7853939110294259611_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=WlgKpAdEWK0AX8W70F_&_nc_ht=scontent.frak3-1.fna&oh=00_AT98WgxWJUYdqb_RjsN_FAmolX111fhFOnwdJ_m3cG745A&oe=63505B23,https://www.facebook.com/salariemarocain/posts/pfbid025Jo4ksXbtFiEDmF5kuS69zZKLkoY23YNWTdxLfZ7bfxtUVbqkdf3c5wXazfchCWel?__cft__[0]=AZXE_dws8NZYcG-qP936UqWESMiE7T880SR2OI6p-SHZB5U3MQY9AVmCb5-WSxXRr8LaWPE75VDh56iBNeVB7Qr9zx8FtqQfRn-F-odrYNgo-g1DL5zjnX5PA6sT-zoQaD3l7HE07wLusJr65DqsuWgDyrIXnu9gM4IkZpYp2DLb2YUiL75uhjFWxzs4A5GVJkSoBVPYmS3NQ-PvdTiN-Kxb&__tn__=%2CO%2CP-R
pfbid0NfbzJVL3xYysHsfXWfcMzunRSKhYswD5whevhMBhifA8JfztAPfSNmRSts8vD9CNl,Le salarié,54,2,680,0,0,0,0,0,682,879,20 مليون شهرياالسلام عليكم، بمناسبة القرعة الامريكية و الناس اللي تعزلو و هما خدامين فالمغرب وكيحيروا فقرار انهم يمشيوا او لا، و حتى للناس اللي مخدامينش و جاتهم القرعة الامريكية، في اطار رفع المعنويات، اخوكم قرى فالجامعة هنا فامريكا و خديت bachelors degree في التجارة الدولية، تخرجت مع وقت كورونا و ظروف صعابت نلقى خدمة، توجهت لسياقة شاحنات و دابا كندير تقريبا هاد صالير اسبوعيا، بصراحة قراية مزيانة للواحد يثقف راسو و لكن ايضا كين طرق اخرين الواحد يقدر يتبعهم ويدير اضعاف مضاعفة ديال فلوس الا كان بصح القلب على الخدمة. مهم الناس اللي جاتهم القرعة توكلوا ع الله را امريكا فيها فرص كبيرة. اه صالير اسبوعي هاداك يعني هاداك ضربوا فأربع اسابيع ويعطيك فالشهر  الله يوفق الجميع #صديق_الصفحة,2022-10-15T15:45:50.995384,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/311569922_5573511346074656_1606094518048188021_n.jpg?stp=cp6_dst-jpg&_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=3LN6zfhFJh4AX9Tl-Gw&_nc_ht=scontent.frak3-1.fna&oh=00_AT98exqVqryN5HiPAP75wVbS_VKFiccv5-1AWJawut_GIQ&oe=635071AD https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/salariemarocain/posts/pfbid0NfbzJVL3xYysHsfXWfcMzunRSKhYswD5whevhMBhifA8JfztAPfSNmRSts8vD9CNl?__cft__[0]=AZVyf8aAocE0s8SXSapAy9kkPQ4d6pjqAVpAyuF_obKY3d1FWLzbFvvddNn1URYpxWqv3M4U7BsJovV_xpLa-8DCTUXyijlzpsLrXq4Hf_PDRfw3FdRtGobC4H2aPGRQJO7DosVjVLSI4ZyUOcehwBSDUvJa5WFqQUJph8Ngoj87NgHmfxMto2mITmszeP69ZpUjzCQOYwuYSRDNyRs3dAY6&__tn__=%2CO%2CP-R
pfbid02AscttitJJeiqiWvdSkAGGcZssCiWztse9Y28p4Pf3gVNxyTFZt89nt92PcX4vXwol,Le salarié,63,5,3,0,0,0,0,0,8,3,#صديقة_الصفحة,2022-10-15T15:45:51.207652,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/310476993_5573413552751102_2428776249122750740_n.jpg?stp=dst-jpg_p180x540&_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=rc0ZDlR9vtEAX8p2ko2&_nc_ht=scontent.frak3-1.fna&oh=00_AT9rxR1VDt__2umbdcxeT4kpOgk99InXN4AXiiVGTpEHyA&oe=6350F0D0 https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/salariemarocain/posts/pfbid02AscttitJJeiqiWvdSkAGGcZssCiWztse9Y28p4Pf3gVNxyTFZt89nt92PcX4vXwol?__cft__[0]=AZWyfTeZnFq_e1dG-z0NcJjl89SbcATJheWAnSIRm_jaRtkNnVq42FPdo3KGWP8r8qnf6DHMY5GB8_tMnALQWgin7x_NFwL3OBQVp_P7qC03lHpcceHGLBb6t5K6zKVqh6eYUrsN14zEn7ny6LzfDFIKEK2i-jOF1GZp35iymOGMkCc_QhOzDTRlJt47jChA0IwO698A-aJFNtzOLhJT8j7u&__tn__=%2CO%2CP-R
pfbid02hrZeRtaDNxnskA6nJCA5GDhdCpzhYWUzs1NhqCve2eZPQ4hDLp7MNbcke6rtvEp3l,Le salarié,9,652,0,0,0,0,0,176,828,235,عرض عمل : تقنيين و مهندسين فلاحيين مع التجربة في زراعة الخضراوات و تربية الابقار الحلوب بدولة موريطانيا.,2022-10-15T14:45:51.435187,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/309476291_5573284896097301_8438376424086130925_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=_4fd8xIzN58AX_tg5Jr&_nc_ht=scontent.frak3-1.fna&oh=00_AT_nn7DNHd2DXr8Ccj8SKbPi592gCq3XMonNqwz9HLVgcg&oe=63509084,https://www.facebook.com/salariemarocain/posts/pfbid02hrZeRtaDNxnskA6nJCA5GDhdCpzhYWUzs1NhqCve2eZPQ4hDLp7MNbcke6rtvEp3l?__cft__[0]=AZWj-tHHpYOi7wikqhOvZLgM_yIznxKwezSrek81qbpDkRsbG8uRydH1ef7VOXB9s5XFParTEIu72KrxXf1dOHpgdkfB-x1jDJIxEccSnY0dRAX7mH1RXFcmzZ19iiQnXBVVCspyIc2FxU91ZFuAyPGFXFGjsTkXHFn9JJVl3hdoFwRPgcFmVZGm7PtnDdnfMjc9YNJPm21VK6a_QQm_9-vn&__tn__=%2CO%2CP-R
pfbid03sFSwpR5GwtizdMdCVMRhA3HeQuPyaRmANFzeUgvF9DijQ4XJ1TnaygnqLCyxavkl,Le salarié,30,3,1,0,0,0,0,0,4,3,#صديقة_الصفحة,2022-10-15T14:45:52.327408,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/310491981_5573246212767836_4211674953358173862_n.jpg?stp=dst-jpg_p526x296&_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=0WUF12LM1yMAX_v4b2k&_nc_ht=scontent.frak3-1.fna&oh=00_AT9HWd69IPkuYOncH7W7kH-ZDbSltPpi9zppUd_z_qzmtQ&oe=63509D4A,https://www.facebook.com/salariemarocain/posts/pfbid03sFSwpR5GwtizdMdCVMRhA3HeQuPyaRmANFzeUgvF9DijQ4XJ1TnaygnqLCyxavkl?__cft__[0]=AZU_LQNCEb5CcmSHqP2u5o08sPDvjLS0099kGN0vRnyK8LPceJ3yJrC1UJ-O30FUyWDntsM9CdO9KDk2IBHbAyYjZ5MOwq_6QRURUgNL-OswgQRLRzRp4kTdgCsWQvS7AFF-kkOqWVGTy8B0CaGtB79TxaaUpTvfqEVFVR40qWqYp6Xubd4Waev_hhVYpe8FCHZL1Lrz1qNmfcJ037IyPISM&__tn__=%2CO%2CP-R
pfbid02rLLTmGWFzDRjmc4oJA29j1YozHpQXQeoz3PRVWrS57MUaLjuc1BZbAHMipKZAA9gl,Le salarié,12,399,37,0,0,0,0,0,436,71,,2022-10-15T13:45:52.735212,[],,https://www.facebook.com/salariemarocain/posts/pfbid02rLLTmGWFzDRjmc4oJA29j1YozHpQXQeoz3PRVWrS57MUaLjuc1BZbAHMipKZAA9gl?__cft__[0]=AZVnBFtpALvQLtsgcCQ93fsZyene_OxiSWVLCbLQLosvmqYqBSOJswTUT5Ke0w7GzkBGm6hoDt0EOV1pQIy8MsoYSAAuesJWOGhxGt-Bz6mzAJ0DlsMR-6i-KBD3-5pln5Ho1BfaX0JFiqBvcqOJ3N5THrqERvJvIPIUzcL9MJQCp7kcbHSH35l70yXaMFd3Z0hT07GkM6-qf2gmioTqipFC&__tn__=%2CO%2CP-R
pfbid0WjnePKssswCpZTfKiHLS2imtDNdFDsZY6xD9u74pAdfcDVNNuXKBpTsove7GcxTdl,Le salarié,7,176,16,0,0,0,0,0,192,33,"ملتقى المدارس التقنية و المهنية في الكيبيك بكندا و المنظم لأول مرة بالمغرب تحت اشراف مكتب الكيبيك بالرباط بكل من طنجة و الرباط و الدار البيضاء ايام 15,14,12 على التوالي. وتنظيم شركة Karavelopub.",2022-10-15T13:45:53.458690,[],https://scontent.fcmn5-2.fna.fbcdn.net/v/t39.30808-6/310554900_5573179192774538_3377359328383114434_n.jpg?stp=dst-jpg_p843x403&_nc_cat=101&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=xsFEw4-LJSEAX-T_hA4&_nc_oc=AQmUV5gXXA6B8zLAU39KV2T_oGqIfLQnxClN8Kdcy2lO994q2wk_42av0G3BsfrlQ-Q&_nc_ht=scontent.fcmn5-2.fna&oh=00_AT-b_w74EQhWrBJYXThQ6PKJilS9zsYydsXsIka7AAoOuw&oe=63503718,https://www.facebook.com/salariemarocain/posts/pfbid0WjnePKssswCpZTfKiHLS2imtDNdFDsZY6xD9u74pAdfcDVNNuXKBpTsove7GcxTdl?__cft__[0]=AZWfZ_mHGugqkPL8v33SFKAJhc5hiIBGrMEiuIcHAogYLOgfiZr6Me8EuGJd1JDEgcr5qUCgWyvlD5pwi8y8RWpMQeSZr_WZeHBaxdeSejZCP8O5vAPtrOUqGuofd-DVk99zZjlfZPi_AwSUvXCeTlPPV2yCOhF3ZrMwQcWOua_pZbf5arsNwDOw9WAOEALq3QiDnLlb4yfPbyOoQYtb7Lrm&__tn__=%2CO%2CP-R
pfbid02BSVV7j4TkA6Yg2fj8v75QMZPEhxbqD9z7pZebr2P3KjpoZyqdNfjTpQ2ceNAcudUl,Le salarié,20,1,0,0,0,0,0,262,263,2,#صديق_الصفحة,2022-10-15T13:45:54.950638,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/311877312_5573165296109261_809059254597579736_n.jpg?stp=dst-jpg_s640x640&_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=KEPWqRcXVa4AX8r8QxY&_nc_ht=scontent.frak3-1.fna&oh=00_AT8IaHf6vmSBrmfNC7qt7A9EUQ-U-XeHUYwFDEjOgGG_zg&oe=6350CD2C,https://www.facebook.com/salariemarocain/posts/pfbid02BSVV7j4TkA6Yg2fj8v75QMZPEhxbqD9z7pZebr2P3KjpoZyqdNfjTpQ2ceNAcudUl?__cft__[0]=AZVkr_NdF0ewryVG1aDc64GUTxfm2c65dGzziTR8dqschHPTlWDgovcqE4UFvo3hLLpIRzeaPHsgN3ZPjYNBAw6NIkAp4zVeGRXrdfkswIezipNPHZY7Lr72Y-xZCNT-JoptLVwOXT2y_yyp3zdCMb9KEFQz_XOhX7o2VaUFgsEK2wsI-RXV57r31tKN0Isp3nFeOQrtetngKCuWYlhH2SGy&__tn__=%2CO%2CP-R
pfbid02UFjnznUyvfuAhbtRTG2vuuDJhrteHYqy5ehfjH797Kpgkyjz1k9VXFjW475A3dSEl,Le salarié,40,983,111,0,0,0,0,0,1094,483,#صديق_الصفحة,2022-10-15T12:45:55.166511,[],https://scontent.frak3-1.fna.fbcdn.net/v/t39.30808-6/311243178_5573036342788823_1852026849059470715_n.jpg?stp=dst-jpg_p526x296&_nc_cat=1&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=x0hKhoBv7SwAX_3QmCL&_nc_ht=scontent.frak3-1.fna&oh=00_AT_771SXOri2GTyQ7rkvlUO1fE0YD8YeaerBoBhqZtGqGg&oe=6350D6D6,https://www.facebook.com/salariemarocain/posts/pfbid02UFjnznUyvfuAhbtRTG2vuuDJhrteHYqy5ehfjH797Kpgkyjz1k9VXFjW475A3dSEl?__cft__[0]=AZWJ8REPTCUevkYKDIQRltaPxqnNVTqYua1SuRrjRG5TInZWLrgb1WI5jhv_EsXKVM2n-di_v-9ZyDLfIxQdNTcUaNGUy2785X_TTzUJ4c4fsUKjXLcP77gUxlEvmG-UnnxxLoj5q36Z9l2q-PcuROXYpFCTPCacMrBwqhX4GAT5AyNIEgCgo4hGRbJL7TNdyL20ruViXGS988kISSG1KGkp&__tn__=%2CO%2CP-R
